Algorithm,Function,D2_Best Value,D2_Best Error,D2_Worst Error,D2_Mean Error,D2_Std Dev,D2_Std Error,D10_Best Value,D10_Best Error,D10_Worst Error,D10_Mean Error,D10_Std Dev,D10_Std Error
fisa,F1,1.001530e+02,1.530049e-01,5.516926e+03,2.751173e+02,1.061335e+03,1.486167e+02,—,—,—,—,—,—
fisa,F2,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F3,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F4,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F5,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F6,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F7,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F8,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F9,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F10,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F11,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F12,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F13,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F14,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F15,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F16,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F17,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F18,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F19,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F20,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F21,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F22,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F23,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F24,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F25,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F26,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F27,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F28,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F29,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F30,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F1,1.008672e+02,8.672188e-01,1.536229e+02,3.618965e+01,3.517415e+01,4.925366e+00,—,—,—,—,—,—
rao1,F2,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F3,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F4,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F5,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F6,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F7,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F8,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F9,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F10,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F11,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F12,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F13,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F14,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F15,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F16,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F17,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F18,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F19,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F20,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F21,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F22,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F23,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F24,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F25,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F26,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F27,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F28,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F29,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F30,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F1,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F2,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F3,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F4,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F5,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F6,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F7,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F8,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F9,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F10,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F11,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F12,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F13,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F14,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F15,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F16,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F17,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F18,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F19,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F20,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F21,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F22,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F23,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F24,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F25,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F26,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F27,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F28,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F29,—,—,—,—,—,—,—,—,—,—,—,—
rao2,F30,—,—,—,—,—,—,—,—,—,—,—,—
